surface,normalized,dictionary,POS
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
杭州,杭州,杭州,ns
群核,群核,群核,n
信息技术,信息技术,信息技术,n
有限公司,有限公司,有限公司,n
注册,注册,注册,v
地址,地址,地址,n
浙江省,浙江省,浙江省,ns
杭州市,杭州市,杭州市,ns
上,上,上,f
城区,城区,城区,n
东宁,东宁,东宁,ns
路,路,路,n
586,586,586,m
号,号,号,m
悦,悦,悦,vg
郡,郡,郡,n
城,城,城,n
1,1,1,m
幢,幢,幢,q
806,806,806,m
室,室,室,n
简称,简称,简称,v
群,群,群,q
核系,核系,核系,n
酷,酷,酷,d
家乐,家乐,家乐,n
网页,网页,网页,n
/,/,/,x
客户端,客户端,客户端,n
包括,包括,包括,v
个人版,个人版,个人版,n
企业,企业,企业,n
版,版,版,n
酷,酷,酷,d
大师,大师,大师,n
网页,网页,网页,n
/,/,/,x
客户端,客户端,客户端,n
包括,包括,包括,v
个人版,个人版,个人版,n
企业,企业,企业,n
版,版,版,n
酷,酷,酷,d
家乐,家乐,家乐,n
企业,企业,企业,n
版,版,版,n
申请,申请,申请,v
试用,试用,试用,vn
页面,页面,页面,n
美间,美间,美间,n
网页,网页,网页,n
/,/,/,x
客户端,客户端,客户端,n
企业,企业,企业,n
版,版,版,n
合称,合称,合称,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
运营者,运营者,运营者,n
非常重视,非常重视,非常重视,l
保护,保护,保护,v
用户,用户,用户,n
简称,简称,简称,v
个人信息,个人信息,个人信息,n
隐私,隐私,隐私,b
保护,保护,保护,v
注册,注册,注册,v
登录,登录,登录,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
时,时,时,n
会,会,会,v
收集,收集,收集,v
存储,存储,存储,j
对外,对外,对外,s
提供,提供,提供,v
相关,相关,相关,v
个人信息,个人信息,个人信息,n
呈现,呈现,呈现,v
个人信息,个人信息,个人信息,n
情况,情况,情况,n
特,特,特,d
制定,制定,制定,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
隐私,隐私,隐私,b
政策,政策,政策,n
简称,简称,简称,v
隐私,隐私,隐私,b
政策,政策,政策,n
承诺,承诺,承诺,v
隐私,隐私,隐私,b
政策,政策,政策,n
个人信息,个人信息,个人信息,n
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
不适,不适,不适,a
用于,用于,用于,v
群核,群核,群核,n
关联,关联,关联,ns
公司,公司,公司,n
提供,提供,提供,v
产品,产品,产品,n
服务,服务,服务,vn
亦,亦,亦,d
不适,不适,不适,a
用于,用于,用于,v
接入,接入,接入,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
提供,提供,提供,v
产品,产品,产品,n
服务,服务,服务,vn
第三方,第三方,第三方,m
收集,收集,收集,v
信息,信息,信息,n
 , , ,x
提醒您,提醒您,提醒您,l
 , , ,x
注册,注册,注册,v
登录,登录,登录,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
前,前,前,f
请,请,请,v
务必,务必,务必,d
阅读,阅读,阅读,v
隐私,隐私,隐私,b
政策,政策,政策,n
理解,理解,理解,v
条款,条款,条款,n
内容,内容,内容,n
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
隐私,隐私,隐私,b
政策,政策,政策,n
指引,指引,指引,v
做出,做出,做出,v
选择,选择,选择,v
隐私,隐私,隐私,b
政策,政策,政策,n
中,中,中,f
涉及,涉及,涉及,v
相关,相关,相关,v
术语,术语,术语,n
努力,努力,努力,ad
通俗易懂,通俗易懂,通俗易懂,l
简明扼要,简明扼要,简明扼要,l
文字,文字,文字,n
表述,表述,表述,v
隐私,隐私,隐私,b
政策,政策,政策,n
中,中,中,f
权益,权益,权益,n
关系,关系,关系,n
条款,条款,条款,n
个人信息,个人信息,个人信息,n
采用,采用,采用,v
加粗,加粗,加粗,nr
提示,提示,提示,v
知晓,知晓,知晓,v
确认,确认,确认,v
勾选,勾选,勾选,v
同意,同意,同意,d
隐私,隐私,隐私,b
政策,政策,政策,n
同意,同意,同意,d
隐私,隐私,隐私,b
政策,政策,政策,n
个人信息,个人信息,个人信息,n
隐私,隐私,隐私,b
政策,政策,政策,n
疑问,疑问,疑问,v
意见,意见,意见,n
建议,建议,建议,n
隐私,隐私,隐私,b
政策,政策,政策,n
载明,载明,载明,v
联系方式,联系方式,联系方式,l
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
以下内容,以下内容,以下内容,l
 , , ,x
 , , ,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
二,二,二,m
 , , ,x
个人信息,个人信息,个人信息,n
 , , ,x
三,三,三,m
 , , ,x
存储,存储,存储,j
个人信息,个人信息,个人信息,n
 , , ,x
四,四,四,m
 , , ,x
委托,委托,委托,n
对外,对外,对外,s
提供,提供,提供,v
转移,转移,转移,v
公开,公开,公开,ad
披露,披露,披露,v
个人信息,个人信息,个人信息,n
 , , ,x
五,五,五,m
 , , ,x
保护,保护,保护,v
个人信息,个人信息,个人信息,n
 , , ,x
六,六,六,m
 , , ,x
管理,管理,管理,vn
个人信息,个人信息,个人信息,n
 , , ,x
七,七,七,m
 , , ,x
保护,保护,保护,v
未成年人,未成年人,未成年人,l
个人信息,个人信息,个人信息,n
 , , ,x
八,八,八,m
 , , ,x
通知,通知,通知,v
修订,修订,修订,v
 , , ,x
九,九,九,m
 , , ,x
 , , ,x
 , , ,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
情况,情况,情况,n
 , , ,x
仅,仅,仅,d
会,会,会,v
出于,出于,出于,v
目的,目的,目的,n
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
注册,注册,注册,v
登录,登录,登录,v
完善,完善,完善,v
资料,资料,资料,n
 , , ,x
手机号,手机号,手机号,n
注册,注册,注册,v
登录,登录,登录,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
时,时,时,n
收集,收集,收集,v
手机号码,手机号码,手机号码,n
短信,短信,短信,n
验证码,验证码,验证码,n
收集,收集,收集,v
信息,信息,信息,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
账户,账户,账户,n
注册,注册,注册,v
保护,保护,保护,v
账户,账户,账户,n
不,不,不,d
提供,提供,提供,v
类,类,类,q
信息,信息,信息,n
创建,创建,创建,v
账户,账户,账户,n
提供,提供,提供,v
服务,服务,服务,vn
 , , ,x
第三方,第三方,第三方,m
账户,账户,账户,n
注册,注册,注册,v
登录,登录,登录,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
时,时,时,n
收集,收集,收集,v
第三方,第三方,第三方,m
账户,账户,账户,n
头像,头像,头像,n
昵称,昵称,昵称,n
第三方,第三方,第三方,m
开放平台,开放平台,开放平台,nz
用户,用户,用户,n
标识,标识,标识,n
微信,微信,微信,vn
用户,用户,用户,n
标识,标识,标识,n
OpenID,openid,OpenID,eng
收集,收集,收集,v
信息,信息,信息,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
账户,账户,账户,n
注册,注册,注册,v
保护,保护,保护,v
账户,账户,账户,n
不,不,不,d
提供,提供,提供,v
类,类,类,q
信息,信息,信息,n
创建,创建,创建,v
账户,账户,账户,n
提供,提供,提供,v
服务,服务,服务,vn
 , , ,x
企业,企业,企业,n
账户,账户,账户,n
注册,注册,注册,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
账户,账户,账户,n
时,时,时,ng
提供,提供,提供,v
邮箱,邮箱,邮箱,n
名称,名称,名称,n
urTokern,urtokern,urTokern,eng
初始密码,初始密码,初始密码,n
收集,收集,收集,v
信息,信息,信息,n
酷,酷,酷,n
