surface,normalized,dictionary,POS
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
2020,2020,2020,m
年,年,年,m
11,11,11,m
月,月,月,m
09,09,09,m
日,日,日,m
更新,更新,更新,d
 , , ,x
政策,政策,政策,n
相机,相机,相机,d
360,360,360,m
过程,过程,过程,n
中,中,中,f
涉及,涉及,涉及,v
以下内容,以下内容,以下内容,l
 , , ,x
1,1,1,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
2,2,2,x
 , , ,x
Cookie,cookie,Cookie,eng
 , , ,x
同类,同类,同类,n
技术,技术,技术,n
 , , ,x
3,3,3,x
共享,共享,共享,v
转让,转让,转让,v
公开,公开,公开,ad
披露,披露,披露,v
个人信息,个人信息,个人信息,n
 , , ,x
4,4,4,x
保护,保护,保护,v
个人信息,个人信息,个人信息,n
 , , ,x
5,5,5,m
权利,权利,权利,n
 , , ,x
6,6,6,x
未成年人,未成年人,未成年人,l
个人信息,个人信息,个人信息,n
 , , ,x
7,7,7,m
个人信息,个人信息,个人信息,n
全球,全球,全球,n
转移,转移,转移,v
 , , ,x
8,8,8,x
适用法律,适用法律,适用法律,l
管辖,管辖,管辖,v
 , , ,x
9,9,9,m
政策,政策,政策,n
更新,更新,更新,d
 , , ,x
10,10,10,m
 , , ,x
相机,相机,相机,d
360,360,360,m
深知,深知,深知,v
个人信息,个人信息,个人信息,n
重要性,重要性,重要性,n
会,会,会,v
尽全力,尽全力,尽全力,l
保护,保护,保护,v
信息安全,信息安全,信息安全,nz
可靠,可靠,可靠,v
致力于,致力于,致力于,n
信任,信任,信任,n
恪守,恪守,恪守,v
原则,原则,原则,n
保护,保护,保护,v
个人信息,个人信息,个人信息,n
权责,权责,权责,n
原则,原则,原则,n
目的,目的,目的,n
原则,原则,原则,n
选择,选择,选择,v
同意,同意,同意,d
原则,原则,原则,n
最少,最少,最少,d
够用,够用,够用,v
原则,原则,原则,n
确保安全,确保安全,确保安全,ns
原则,原则,原则,n
主体,主体,主体,n
参与,参与,参与,v
原则,原则,原则,n
公开,公开,公开,ad
透明,透明,透明,v
原则,原则,原则,n
相机,相机,相机,d
360,360,360,m
承诺,承诺,承诺,v
业界,业界,业界,n
成熟,成熟,成熟,a
标准,标准,标准,n
采取相应,采取相应,采取相应,nr
保护措施,保护措施,保护措施,n
保护,保护,保护,v
个人信息,个人信息,个人信息,n
 , , ,x
请,请,请,v
产品,产品,产品,n
服务,服务,服务,vn
前,前,前,f
仔细阅读,仔细阅读,仔细阅读,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
个人信息,个人信息,个人信息,n
指以,指以,指以,v
电子,电子,电子,n
方式,方式,方式,n
记录,记录,记录,n
单独,单独,单独,d
信息,信息,信息,n
识别,识别,识别,v
特定,特定,特定,d
自然人,自然人,自然人,l
身份,身份,身份,n
特定,特定,特定,d
自然人,自然人,自然人,l
活动,活动,活动,vn
情况,情况,情况,n
信息,信息,信息,n
 , , ,x
相机,相机,相机,d
360,360,360,m
仅,仅,仅,d
会,会,会,v
出于,出于,出于,v
政策,政策,政策,n
所述,所述,所述,b
目的,目的,目的,n
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
业务,业务,业务,n
功能,功能,功能,n
注册,注册,注册,v
账户,账户,账户,n
 , , ,x
注册,注册,注册,v
相机,相机,相机,d
360,360,360,m
账号,账号,账号,n
时,时,时,ng
提供,提供,提供,v
 , , ,x
姓名,姓名,姓名,n
手机号码,手机号码,手机号码,n
 , , ,x
用于,用于,用于,v
实名,实名,实名,v
认证,认证,认证,v
 , , ,x
邮箱,邮箱,邮箱,n
 , , ,x
创建,创建,创建,v
 , , ,x
用户名,用户名,用户名,n
密码,密码,密码,n
 , , ,x
收集,收集,收集,v
信息,信息,信息,n
账号,账号,账号,n
注册,注册,注册,v
相机,相机,相机,d
360,360,360,m
功能,功能,功能,n
